,Station Name,Air Temperature
50344,63rd Street Weather Station,20.0
50345,Oak Street Weather Station,20.5
50346,Foster Weather Station,19.78
50347,63rd Street Weather Station,20.0
50348,Oak Street Weather Station,21.8
50349,Foster Weather Station,19.89
50350,63rd Street Weather Station,19.7
50351,Oak Street Weather Station,21.6
50352,Foster Weather Station,20.0
50353,63rd Street Weather Station,20.8
50354,Oak Street Weather Station,22.9
50355,Foster Weather Station,20.56
50356,63rd Street Weather Station,23.2
50357,Oak Street Weather Station,24.4
50358,Foster Weather Station,22.56
50359,63rd Street Weather Station,24.8
50360,Oak Street Weather Station,25.0
50361,Foster Weather Station,24.28
50362,63rd Street Weather Station,25.5
50363,Oak Street Weather Station,25.1
50364,Foster Weather Station,20.0
50365,63rd Street Weather Station,21.0
50366,Oak Street Weather Station,20.9
50367,Foster Weather Station,20.17
50368,63rd Street Weather Station,20.4
50369,Oak Street Weather Station,22.2
50370,Foster Weather Station,20.89
50371,63rd Street Weather Station,21.0
50372,Oak Street Weather Station,22.3
50373,Foster Weather Station,20.5
50374,63rd Street Weather Station,20.4
50375,Oak Street Weather Station,22.7
50376,Foster Weather Station,21.06
50377,63rd Street Weather Station,21.9
50378,Oak Street Weather Station,23.5
50379,Foster Weather Station,21.67
50380,63rd Street Weather Station,21.8
50381,Oak Street Weather Station,23.8
50382,Foster Weather Station,21.0
50383,63rd Street Weather Station,21.9
50384,Oak Street Weather Station,23.0
50385,Foster Weather Station,20.56
50386,63rd Street Weather Station,23.0
50387,Oak Street Weather Station,22.0
50388,Foster Weather Station,21.78
50389,63rd Street Weather Station,21.8
50390,Oak Street Weather Station,24.9
50391,Foster Weather Station,22.39
50392,63rd Street Weather Station,22.1
50393,Oak Street Weather Station,25.7
50394,Foster Weather Station,21.17
50395,63rd Street Weather Station,24.3
50396,Oak Street Weather Station,22.9
50397,Foster Weather Station,22.78
50398,63rd Street Weather Station,24.2
50399,Oak Street Weather Station,25.2
50400,Foster Weather Station,24.78
50401,63rd Street Weather Station,24.3
50402,Oak Street Weather Station,21.8
50403,Foster Weather Station,19.89
50404,63rd Street Weather Station,21.5
50405,Oak Street Weather Station,21.4
50406,Foster Weather Station,21.39
50407,63rd Street Weather Station,22.7
50408,Oak Street Weather Station,23.7
50409,Foster Weather Station,22.39
50410,63rd Street Weather Station,22.4
50411,Oak Street Weather Station,23.0
50412,Foster Weather Station,21.89
50413,63rd Street Weather Station,21.9
50414,Oak Street Weather Station,22.3
50415,Foster Weather Station,21.28
50416,63rd Street Weather Station,21.4
50417,Oak Street Weather Station,21.8
